"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-16","51","62","40"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-17","52","65","39"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-18","62","77","47"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-19","54","64","44"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-20","65","87","44"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-21","69","81","57"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-22","70","81","58"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-23","54","65","42"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-24","54","67","41"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-25","57","70","44"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-26","72","82","61"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-27","49","65","33"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-28","45","61","30"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-29","48","58","39"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-30","53","67","39"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-05-31","51","53","48"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-01","57","69","45"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-02","62","80","45"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-03","58","68","49"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-04","66","78","54"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-05","65","76","55"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-06","65","74","56"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-07","73","90","56"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-08","79","91","67"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-09","64","75","53"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-10","54","64","44"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-11","60","71","48"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-12","66","81","52"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-13","58","69","46"
"CA007041JG6","CAP TOURMENTE, QC CA","47.0833","-70.7833","6.0","2021-06-14","56","60","52"
